date,portfolio_value,ADA-USD,ETH-USD,LINK-USD,LTC-USD,SOL-USD,UNI-USD,XRP-USD,ADI,AKAM,BLDR,CARR,CBRE,CSGP,DECK,DXCM,GM,GS,INTC,LII,MCHP,MCO,ODFL,PCG,PHM,STZ,TSLA
2025-01-17,1026013.1981395078,0.0,0.0,24074.644249717086,0.0,50392.82709839681,0.0,26795.0684676276,0.0,0.0,0.0,0.0,0.0,0.0,45722.432361679486,0.0,0.0,0.0,45066.63655545009,0.0,37850.63137013222,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-18,905908.5112329178,0.0,0.0,23115.655300123966,0.0,60086.78713406777,0.0,26595.11076222146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-19,900857.0266649902,0.0,0.0,23246.892623189993,0.0,57497.7808664354,0.0,24001.395138860255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-20,900908.8898341077,0.0,0.0,24032.701991256545,0.0,55585.02989260812,0.0,25180.199913738463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,1035295.0366916835,0.0,0.0,25495.140665802806,0.0,57458.18258647343,0.0,25745.28228330162,0.0,0.0,0.0,0.0,0.0,0.0,46637.272402816256,0.0,0.0,0.0,45653.8254486435,0.0,38203.21343400249,0.0,0.0,0.0,35343.82527878765,0.0,0.0
2025-01-22,1036300.3222409148,0.0,0.0,24245.6954508771,0.0,59023.87266748102,0.0,25759.131572398248,0.0,0.0,0.0,0.0,0.0,0.0,46813.70543573423,0.0,0.0,0.0,45842.56459288792,0.0,38183.62721452869,0.0,0.0,0.0,35673.43071515188,0.0,0.0
2025-01-23,1036139.1918014003,0.0,0.0,24594.652920202472,0.0,58156.04362613575,0.0,25343.116435637112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45234.40423923434,0.0,38895.32593746587,0.0,0.0,0.0,35560.508670589435,0.0,0.0
2025-01-24,1031647.4151020399,0.0,0.0,24148.415302886093,0.0,58134.47989436866,0.0,25209.833247882983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43682.55216425577,0.0,0.0,0.0,0.0,0.0,35307.20582290661,0.0,0.0
2025-01-25,953076.5581107708,0.0,0.0,23894.408465583525,0.0,58756.83811286564,0.0,25260.38286258177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-26,948900.5817107294,0.0,0.0,23881.949029314008,0.0,55271.41921789247,0.0,24582.284793783037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,1025616.9085072008,0.0,0.0,23151.08990761838,0.0,53938.52570920599,0.0,24801.258884259765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29828.53987405818,0.0,42550.121298686376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28,1018727.4595116427,0.0,0.0,21681.13059007586,0.0,52132.62006779247,0.0,24865.715888834493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27178.080395944144,0.0,41522.539735623635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,1019674.3243763258,0.0,0.0,22645.77145007536,0.0,52302.63708591391,0.0,24923.990970489853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27036.86560325476,0.0,41417.68643321989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-30,1023935.7257431236,0.0,0.0,23462.146115570915,0.0,54844.56656553844,0.0,25433.916333554356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26884.791489594863,0.0,41962.93240549297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
